Unnamed: 0,Trait,Condition,IoU
117,Glucocorticoid_Sensitivity,Hepatitis,0.2179226069246435
118,Lung_Cancer,Gender,0.2176656151419558
119,Atherosclerosis,Hepatitis,0.2173048234709099
120,Hepatitis,Atherosclerosis,0.2173048234709099
121,Lung_Cancer,Obesity,0.2172195892575039
122,Obesity,Lung_Cancer,0.2172195892575039
123,Endometriosis,Chronic_obstructive_pulmonary_disease_(COPD),0.2158808933002481
124,Chronic_obstructive_pulmonary_disease_(COPD),Endometriosis,0.2158808933002481
125,Atherosclerosis,COVID-19,0.2141280353200883
126,COVID-19,Atherosclerosis,0.2141280353200883
127,Pancreatic_Cancer,Hypertension,0.2136512388966807
128,Hypertension,Pancreatic_Cancer,0.2136512388966807
129,Multiple_sclerosis,Hepatitis,0.2132530120481927
130,Hepatitis,Multiple_sclerosis,0.2132530120481927
131,Susceptibility_to_Infections,Atherosclerosis,0.2113475177304964
132,Atherosclerosis,Susceptibility_to_Infections,0.2113475177304964
133,Inflammatory_Disorders,Glucocorticoid_Sensitivity,0.2105263157894736
134,Glucocorticoid_Sensitivity,Inflammatory_Disorders,0.2105263157894736
136,Hepatitis,COVID-19,0.2087912087912088
137,COVID-19,Hepatitis,0.2087912087912088
138,Obesity,Age,0.2085561497326203
139,Inflammatory_Disorders,Obstructive_sleep_apnea,0.2082111436950146
140,Obstructive_sleep_apnea,Inflammatory_Disorders,0.2082111436950146
141,Multiple_sclerosis,Age,0.2074340527577937
142,Hepatitis,Chronic_obstructive_pulmonary_disease_(COPD),0.2068965517241379
143,Chronic_obstructive_pulmonary_disease_(COPD),Hepatitis,0.2068965517241379
144,Atherosclerosis,Obesity,0.205911330049261
145,Obesity,Atherosclerosis,0.205911330049261
147,Hepatitis,Kidney_Papillary_Cell_Carcinoma,0.2048558421851289
148,Endometriosis,Kidney_Papillary_Cell_Carcinoma,0.2048558421851289
149,Kidney_Papillary_Cell_Carcinoma,Endometriosis,0.2048558421851289
150,Kidney_Papillary_Cell_Carcinoma,Hepatitis,0.2048558421851289
151,Liver_Cancer,Hepatitis,0.2041392285983067
152,Hepatitis,Liver_Cancer,0.2041392285983067
153,Bladder_Cancer,Glucocorticoid_Sensitivity,0.2032193158953722
154,Glucocorticoid_Sensitivity,Bladder_Cancer,0.2032193158953722
155,COVID-19,Obstructive_sleep_apnea,0.2011661807580174
157,Obstructive_sleep_apnea,COVID-19,0.2011661807580174
158,Chronic_obstructive_pulmonary_disease_(COPD),Multiple_sclerosis,0.2009803921568627
159,Multiple_sclerosis,Chronic_obstructive_pulmonary_disease_(COPD),0.2009803921568627
160,Glucocorticoid_Sensitivity,Pancreatic_Cancer,0.2008032128514056
161,Pancreatic_Cancer,Glucocorticoid_Sensitivity,0.2008032128514056
162,Hepatitis,Bladder_Cancer,0.2007633587786259
163,Bladder_Cancer,Hepatitis,0.2007633587786259
164,Crohns_Disease,Susceptibility_to_Infections,0.199438202247191
165,Susceptibility_to_Infections,Crohns_Disease,0.199438202247191
166,Inflammatory_Disorders,Sjögrens_Syndrome,0.1991701244813278
167,Sjögrens_Syndrome,Inflammatory_Disorders,0.1991701244813278
168,Pancreatic_Cancer,Gender,0.1987577639751552
169,Susceptibility_to_Infections,Endometriosis,0.1977559607293127
170,Endometriosis,Susceptibility_to_Infections,0.1977559607293127
171,Breast_Cancer,Obesity,0.1967670011148272
172,Obesity,Breast_Cancer,0.1967670011148272
173,Glucocorticoid_Sensitivity,Endometriosis,0.196
174,Endometriosis,Glucocorticoid_Sensitivity,0.196
175,Hypertension,Vitamin_D_Levels,0.1954397394136807
176,Susceptibility_to_Infections,Chronic_obstructive_pulmonary_disease_(COPD),0.1951219512195122
177,Chronic_obstructive_pulmonary_disease_(COPD),Susceptibility_to_Infections,0.1951219512195122
178,Sjögrens_Syndrome,Susceptibility_to_Infections,0.1942148760330578
179,Susceptibility_to_Infections,Sjögrens_Syndrome,0.1942148760330578
180,Inflammatory_Disorders,Vitamin_D_Levels,0.1934959349593495
181,Atherosclerosis,Multiple_sclerosis,0.193127962085308
182,Multiple_sclerosis,Atherosclerosis,0.193127962085308
183,Atherosclerosis,Bladder_Cancer,0.1924013638577691
184,Bladder_Cancer,Atherosclerosis,0.1924013638577691
185,Lung_Cancer,Chronic_obstructive_pulmonary_disease_(COPD),0.1922141119221411
186,Chronic_obstructive_pulmonary_disease_(COPD),Lung_Cancer,0.1922141119221411
187,Pancreatic_Cancer,Age,0.192
188,Hypertension,Hepatitis,0.1919191919191919
189,Hepatitis,Hypertension,0.1919191919191919
190,Atherosclerosis,Vitamin_D_Levels,0.1915584415584415
191,Crohns_Disease,Hepatitis,0.1905165114309907
192,Hepatitis,Crohns_Disease,0.1905165114309907
193,Inflammatory_Disorders,Kidney_Papillary_Cell_Carcinoma,0.1904047976011994
194,Kidney_Papillary_Cell_Carcinoma,Inflammatory_Disorders,0.1904047976011994
196,Endometriosis,Vitamin_D_Levels,0.1896272285251215
197,Pancreatic_Cancer,Vitamin_D_Levels,0.1896272285251215
198,Lung_Cancer,Multiple_sclerosis,0.1896042528056704
199,Breast_Cancer,Multiple_sclerosis,0.1896042528056704
200,Multiple_sclerosis,Breast_Cancer,0.1896042528056704
201,Multiple_sclerosis,Lung_Cancer,0.1896042528056704
202,Crohns_Disease,Inflammatory_Disorders,0.1895093062605753
203,Inflammatory_Disorders,Crohns_Disease,0.1895093062605753
204,Susceptibility_to_Infections,Age,0.1894150417827298
205,Chronic_obstructive_pulmonary_disease_(COPD),Pancreatic_Cancer,0.1893203883495145
206,Pancreatic_Cancer,Chronic_obstructive_pulmonary_disease_(COPD),0.1893203883495145
207,Pancreatic_Cancer,Multiple_sclerosis,0.1889020070838252
208,Multiple_sclerosis,Pancreatic_Cancer,0.1889020070838252
209,Hypertension,Glucocorticoid_Sensitivity,0.1888667992047713
210,Glucocorticoid_Sensitivity,Hypertension,0.1888667992047713
211,Obesity,Endometriosis,0.187948350071736
212,Endometriosis,Obesity,0.187948350071736
213,Susceptibility_to_Infections,Pancreatic_Cancer,0.1877607788595271
214,Pancreatic_Cancer,Susceptibility_to_Infections,0.1877607788595271
215,Hepatitis,Vitamin_D_Levels,0.1877022653721682
216,Bladder_Cancer,Gender,0.1876923076923076
217,Multiple_sclerosis,Crohns_Disease,0.1875
218,Crohns_Disease,Multiple_sclerosis,0.1875
219,Multiple_sclerosis,Obstructive_sleep_apnea,0.1873198847262248
220,Obstructive_sleep_apnea,Multiple_sclerosis,0.1873198847262248
221,Kidney_Papillary_Cell_Carcinoma,Age,0.186846038863976
222,Chronic_obstructive_pulmonary_disease_(COPD),Crohns_Disease,0.1864406779661017
223,Crohns_Disease,Chronic_obstructive_pulmonary_disease_(COPD),0.1864406779661017
224,Ankylosing_Spondylitis,COVID-19,0.1855855855855855
225,COVID-19,Ankylosing_Spondylitis,0.1855855855855855
226,Endometriosis,Head_and_Neck_Cancer,0.1854545454545454
227,Head_and_Neck_Cancer,Endometriosis,0.1854545454545454
228,Cardiovascular_Disease,Hepatitis,0.1848739495798319
229,Hepatitis,Cardiovascular_Disease,0.1848739495798319
230,Endometriosis,Thyroid_Cancer,0.1845493562231759
231,Thyroid_Cancer,Endometriosis,0.1845493562231759
232,Bladder_Cancer,Age,0.1844993141289437
233,Glucocorticoid_Sensitivity,Lung_Cancer,0.1841584158415841
234,Lung_Cancer,Glucocorticoid_Sensitivity,0.1841584158415841
235,Obstructive_sleep_apnea,Vitamin_D_Levels,0.1839080459770115
236,Chronic_obstructive_pulmonary_disease_(COPD),Prostate_Cancer,0.1835748792270531
237,Prostate_Cancer,Chronic_obstructive_pulmonary_disease_(COPD),0.1835748792270531
238,Ankylosing_Spondylitis,Crohns_Disease,0.1834532374100719
239,Crohns_Disease,Ankylosing_Spondylitis,0.1834532374100719
240,Prostate_Cancer,Multiple_sclerosis,0.1833137485311398
241,Multiple_sclerosis,Prostate_Cancer,0.1833137485311398
242,Susceptibility_to_Infections,Lung_Cancer,0.1828254847645429
243,Lung_Cancer,Susceptibility_to_Infections,0.1828254847645429
244,Liver_Cancer,Endometriosis,0.1819021237303786
245,Endometriosis,Liver_Cancer,0.1819021237303786
246,Glucocorticoid_Sensitivity,Atherosclerosis,0.1818181818181818
247,Atherosclerosis,Glucocorticoid_Sensitivity,0.1818181818181818
248,Glucocorticoid_Sensitivity,Breast_Cancer,0.1818181818181818
249,Breast_Cancer,Glucocorticoid_Sensitivity,0.1818181818181818
250,Multiple_sclerosis,Gender,0.1816326530612245
251,COVID-19,Hypertension,0.1815252416756176
252,Hypertension,COVID-19,0.1815252416756176
253,Multiple_sclerosis,Hypertension,0.1812316715542522
254,Hypertension,Multiple_sclerosis,0.1812316715542522
255,Atherosclerosis,Longevity_and_Aging,0.1812080536912751
256,Cardiovascular_Disease,Longevity_and_Aging,0.1812080536912751
257,Hypertension,Longevity_and_Aging,0.1812080536912751
258,Multiple_sclerosis,Endometriosis,0.181169757489301
259,Endometriosis,Multiple_sclerosis,0.181169757489301
261,Bladder_Cancer,Chronic_obstructive_pulmonary_disease_(COPD),0.180722891566265
263,Thyroid_Cancer,Chronic_obstructive_pulmonary_disease_(COPD),0.180722891566265
264,Chronic_obstructive_pulmonary_disease_(COPD),Bladder_Cancer,0.180722891566265
265,Chronic_obstructive_pulmonary_disease_(COPD),Thyroid_Cancer,0.180722891566265
266,Obstructive_sleep_apnea,Obesity,0.1805157593123209
267,Obesity,Obstructive_sleep_apnea,0.1805157593123209
268,Breast_Cancer,Vitamin_D_Levels,0.180064308681672
269,Obesity,Hepatitis,0.1800450112528132
270,Hepatitis,Obesity,0.1800450112528132
271,Osteoporosis,Bone_Density,0.18
272,Multiple_sclerosis,Sjögrens_Syndrome,0.1795918367346938
273,COVID-19,Sjögrens_Syndrome,0.1795918367346938
274,Sjögrens_Syndrome,Multiple_sclerosis,0.1795918367346938
275,Sjögrens_Syndrome,COVID-19,0.1795918367346938
276,Hypertension,Susceptibility_to_Infections,0.1795580110497237
277,Susceptibility_to_Infections,Hypertension,0.1795580110497237
278,Bladder_Cancer,Hypertension,0.1794638800545206
279,Hypertension,Bladder_Cancer,0.1794638800545206
280,Multiple_sclerosis,Ankylosing_Spondylitis,0.1792114695340501
281,Ankylosing_Spondylitis,Multiple_sclerosis,0.1792114695340501
282,Head_and_Neck_Cancer,Hepatitis,0.1790235081374321
283,Hepatitis,Head_and_Neck_Cancer,0.1790235081374321
284,COVID-19,Endometriosis,0.1789924973204716
285,Endometriosis,COVID-19,0.1789924973204716
286,Hepatitis,Thyroid_Cancer,0.1786372007366482
287,Thyroid_Cancer,Hepatitis,0.1786372007366482
288,Esophageal_Cancer,Hepatitis,0.1784841075794621
289,Hepatitis,Esophageal_Cancer,0.1784841075794621
290,Inflammatory_Disorders,Ankylosing_Spondylitis,0.1771019677996422
291,Hepatitis,Ankylosing_Spondylitis,0.1771019677996422
292,Ankylosing_Spondylitis,Inflammatory_Disorders,0.1771019677996422
293,Ankylosing_Spondylitis,Hepatitis,0.1771019677996422
294,COVID-19,Age,0.1764705882352941
295,Colon_and_Rectal_Cancer,Endometriosis,0.1761786600496278
296,Endometriosis,Colon_and_Rectal_Cancer,0.1761786600496278
298,Lung_Cancer,Vitamin_D_Levels,0.1744
299,Bladder_Cancer,Vitamin_D_Levels,0.1744
300,Obesity,Prostate_Cancer,0.1741864916598304
301,Prostate_Cancer,Obesity,0.1741864916598304
302,Pancreatic_Cancer,Longevity_and_Aging,0.1733333333333333
303,Obesity,Longevity_and_Aging,0.1733333333333333
304,Breast_Cancer,Susceptibility_to_Infections,0.173076923076923
305,Susceptibility_to_Infections,Breast_Cancer,0.173076923076923
306,Crohns_Disease,Atherosclerosis,0.1716666666666666
307,Atherosclerosis,Crohns_Disease,0.1716666666666666
308,Bladder_Cancer,Susceptibility_to_Infections,0.1714677640603566
309,Susceptibility_to_Infections,Bladder_Cancer,0.1714677640603566
310,Ankylosing_Spondylitis,Susceptibility_to_Infections,0.1708185053380783
311,Susceptibility_to_Infections,Ankylosing_Spondylitis,0.1708185053380783
312,Obstructive_sleep_apnea,Hepatitis,0.1704545454545454
313,Hepatitis,Obstructive_sleep_apnea,0.1704545454545454
314,Pancreatic_Cancer,Crohns_Disease,0.1697171381031613
315,Crohns_Disease,Pancreatic_Cancer,0.1697171381031613
316,Multiple_sclerosis,Obesity,0.1695702671312427
317,Obesity,Multiple_sclerosis,0.1695702671312427
318,Prostate_Cancer,Glucocorticoid_Sensitivity,0.16796875
319,Glucocorticoid_Sensitivity,Prostate_Cancer,0.16796875
320,Breast_Cancer,Crohns_Disease,0.1677740863787375
321,Crohns_Disease,Breast_Cancer,0.1677740863787375
322,COVID-19,Pancreatic_Cancer,0.167728237791932
323,Pancreatic_Cancer,COVID-19,0.167728237791932
324,Atherosclerosis,LDL_Cholesterol_Levels,0.1676300578034682
325,Cardiovascular_Disease,LDL_Cholesterol_Levels,0.1676300578034682
326,Endometriosis,Esophageal_Cancer,0.1670702179176755
327,Esophageal_Cancer,Endometriosis,0.1670702179176755
328,Multiple_sclerosis,Vitamin_D_Levels,0.1669316375198728
329,Hypertension,Kidney_Papillary_Cell_Carcinoma,0.1667891256429096
330,Kidney_Papillary_Cell_Carcinoma,Hypertension,0.1667891256429096
331,Obesity,Chronic_obstructive_pulmonary_disease_(COPD),0.1666666666666666
332,Chronic_obstructive_pulmonary_disease_(COPD),Obesity,0.1666666666666666
333,Cardiovascular_Disease,Breast_Cancer,0.1664943123061013
334,Breast_Cancer,Cardiovascular_Disease,0.1664943123061013
335,Lung_Cancer,Osteoporosis,0.1657010428736964
336,Osteoporosis,Lung_Cancer,0.1657010428736964
338,Multiple_sclerosis,Longevity_and_Aging,0.1655629139072847
339,Osteoporosis,Longevity_and_Aging,0.1655629139072847
340,Endometriosis,Longevity_and_Aging,0.1655629139072847
341,Endometriosis,Cardiovascular_Disease,0.1652892561983471
342,Cardiovascular_Disease,Endometriosis,0.1652892561983471
343,Cardiovascular_Disease,Lung_Cancer,0.1652892561983471
344,Lung_Cancer,Cardiovascular_Disease,0.1652892561983471
345,Prostate_Cancer,Vitamin_D_Levels,0.165079365079365
346,Osteoporosis,Vitamin_D_Levels,0.165079365079365
347,Atherosclerosis,Kidney_Papillary_Cell_Carcinoma,0.16507703595011
348,Kidney_Papillary_Cell_Carcinoma,Atherosclerosis,0.16507703595011
349,Susceptibility_to_Infections,Gender,0.165075034106412
350,Crohns_Disease,Lung_Cancer,0.1648715824357912
351,Lung_Cancer,Crohns_Disease,0.1648715824357912
352,Chronic_obstructive_pulmonary_disease_(COPD),Peptic_ulcer_disease,0.1645569620253164
353,Peptic_ulcer_disease,Chronic_obstructive_pulmonary_disease_(COPD),0.1645569620253164
354,Inflammatory_Disorders,Osteoporosis,0.1643518518518518
355,Osteoporosis,Inflammatory_Disorders,0.1643518518518518
356,Hypertension,Osteoporosis,0.1643518518518518
357,Osteoporosis,Hypertension,0.1643518518518518
358,COVID-19,Cardiovascular_Disease,0.164021164021164
359,Cardiovascular_Disease,COVID-19,0.164021164021164
360,Obstructive_sleep_apnea,Endometriosis,0.1638418079096045
361,Endometriosis,Obstructive_sleep_apnea,0.1638418079096045
362,Thyroid_Cancer,Glucocorticoid_Sensitivity,0.1634241245136186
363,Glucocorticoid_Sensitivity,Kidney_Papillary_Cell_Carcinoma,0.1634241245136186
364,Kidney_Papillary_Cell_Carcinoma,Glucocorticoid_Sensitivity,0.1634241245136186
365,Glucocorticoid_Sensitivity,Thyroid_Cancer,0.1634241245136186
366,Atherosclerosis,Osteoporosis,0.1630057803468208
367,Osteoporosis,Atherosclerosis,0.1630057803468208
368,COVID-19,Crohns_Disease,0.1627906976744186
369,COVID-19,Lung_Cancer,0.1627906976744186
370,Lung_Cancer,COVID-19,0.1627906976744186
371,Crohns_Disease,COVID-19,0.1627906976744186
372,Celiac_Disease,Inflammatory_Disorders,0.1617021276595744
373,Inflammatory_Disorders,Celiac_Disease,0.1617021276595744
374,Osteoporosis,Endometriosis,0.161662817551963
375,Endometriosis,Osteoporosis,0.161662817551963
376,Liver_Cancer,Age,0.161524500907441
377,Cardiovascular_Disease,Glucocorticoid_Sensitivity,0.1611650485436893
378,Glucocorticoid_Sensitivity,Cardiovascular_Disease,0.1611650485436893
379,Chronic_obstructive_pulmonary_disease_(COPD),Vitamin_D_Levels,0.1611374407582938
380,Ankylosing_Spondylitis,Obstructive_sleep_apnea,0.1605633802816901
381,Obstructive_sleep_apnea,Chronic_obstructive_pulmonary_disease_(COPD),0.1605633802816901
382,Obstructive_sleep_apnea,Ankylosing_Spondylitis,0.1605633802816901
383,Chronic_obstructive_pulmonary_disease_(COPD),Obstructive_sleep_apnea,0.1605633802816901
384,COVID-19,Psoriatic_Arthritis,0.160377358490566
385,Psoriatic_Arthritis,COVID-19,0.160377358490566
386,Obesity,Vitamin_D_Levels,0.1595576619273301
387,Thyroid_Cancer,Age,0.1594202898550724
388,Multiple_sclerosis,Cardiovascular_Disease,0.1593011305241521
389,Cardiovascular_Disease,Multiple_sclerosis,0.1593011305241521
390,COVID-19,Breast_Cancer,0.1591148577449947
391,Breast_Cancer,COVID-19,0.1591148577449947
392,Crohns_Disease,Bladder_Cancer,0.1591096455070074
393,Bladder_Cancer,Crohns_Disease,0.1591096455070074
394,Glucocorticoid_Sensitivity,Obesity,0.1589147286821705
395,Obesity,Glucocorticoid_Sensitivity,0.1589147286821705
396,Susceptibility_to_Infections,Prostate_Cancer,0.1587516960651289
397,Prostate_Cancer,Susceptibility_to_Infections,0.1587516960651289
398,Ankylosing_Spondylitis,Atherosclerosis,0.1584507042253521
399,Atherosclerosis,Ankylosing_Spondylitis,0.1584507042253521
400,Liver_Cancer,Atherosclerosis,0.1583710407239819
401,Atherosclerosis,Liver_Cancer,0.1583710407239819
402,Crohns_Disease,Age,0.158154859967051
403,Multiple_sclerosis,Bladder_Cancer,0.1581368602645198
404,Bladder_Cancer,Multiple_sclerosis,0.1581368602645198
405,Lung_Cancer,Longevity_and_Aging,0.1578947368421052
406,Inflammatory_Disorders,Longevity_and_Aging,0.1578947368421052
407,Thyroid_Cancer,Longevity_and_Aging,0.1578947368421052
408,Prostate_Cancer,Longevity_and_Aging,0.1578947368421052
409,Liver_Cancer,Longevity_and_Aging,0.1578947368421052
410,Huntingtons_Disease,Longevity_and_Aging,0.1578947368421052
411,Hepatitis,Longevity_and_Aging,0.1578947368421052
412,COVID-19,Longevity_and_Aging,0.1578947368421052
413,Head_and_Neck_Cancer,Longevity_and_Aging,0.1578947368421052
414,Glucocorticoid_Sensitivity,Longevity_and_Aging,0.1578947368421052
415,Cardiovascular_Disease,Vitamin_D_Levels,0.1577287066246056
416,Osteoporosis,Breast_Cancer,0.1576524741081703
417,Breast_Cancer,Osteoporosis,0.1576524741081703
418,Inflammatory_Disorders,Liver_Cancer,0.1573236889692585
419,Liver_Cancer,Hypertension,0.1573236889692585
420,Liver_Cancer,Inflammatory_Disorders,0.1573236889692585
421,Hypertension,Liver_Cancer,0.1573236889692585
422,Pancreatic_Cancer,Cardiovascular_Disease,0.1569230769230769
423,Cardiovascular_Disease,Pancreatic_Cancer,0.1569230769230769
424,Prostate_Cancer,Osteoporosis,0.1563218390804597
425,Osteoporosis,Prostate_Cancer,0.1563218390804597
426,Osteoporosis,Bladder_Cancer,0.1563218390804597
427,Bladder_Cancer,Osteoporosis,0.1563218390804597
428,Hepatitis,Sjögrens_Syndrome,0.156
429,Sjögrens_Syndrome,Hepatitis,0.156
430,Breast_Cancer,Chronic_obstructive_pulmonary_disease_(COPD),0.1556603773584905
431,Chronic_obstructive_pulmonary_disease_(COPD),Breast_Cancer,0.1556603773584905
432,Ankylosing_Spondylitis,Chronic_obstructive_pulmonary_disease_(COPD),0.1556603773584905
433,Chronic_obstructive_pulmonary_disease_(COPD),Ankylosing_Spondylitis,0.1556603773584905
434,Chronic_obstructive_pulmonary_disease_(COPD),Osteoporosis,0.1556603773584905
435,Osteoporosis,Chronic_obstructive_pulmonary_disease_(COPD),0.1556603773584905
436,Psoriatic_Arthritis,Sjögrens_Syndrome,0.1549295774647887
437,Sjögrens_Syndrome,Psoriatic_Arthritis,0.1549295774647887
438,Glucocorticoid_Sensitivity,Vitamin_D_Levels,0.1544401544401544
439,Inflammatory_Disorders,Head_and_Neck_Cancer,0.1539823008849557
440,Head_and_Neck_Cancer,Inflammatory_Disorders,0.1539823008849557
441,Atherosclerosis,Thyroid_Cancer,0.1531531531531531
442,Thyroid_Cancer,Atherosclerosis,0.1531531531531531
443,COVID-19,Gender,0.1530398322851153
444,Chronic_obstructive_pulmonary_disease_(COPD),Sjögrens_Syndrome,0.1529411764705882
445,Sjögrens_Syndrome,Chronic_obstructive_pulmonary_disease_(COPD),0.1529411764705882
446,Endometriosis,Ankylosing_Spondylitis,0.1523642732049036
447,Ankylosing_Spondylitis,Endometriosis,0.1523642732049036
